date;jour;b1;b2;b3;b4;b5;chance
2008-10-06;LUNDI;19;24;27;33;41;9
2008-10-08;MERCREDI;22;24;32;41;48;1
2008-10-11;SAMEDI;10;20;22;39;46;4
2008-10-13;LUNDI;10;11;37;41;48;4
2008-10-15;MERCREDI;18;20;28;40;49;1
2008-10-18;SAMEDI;4;32;35;39;44;10
2008-10-20;LUNDI;7;15;31;43;48;3
2008-10-22;MERCREDI;11;12;14;28;48;2
2008-10-25;SAMEDI;11;13;19;22;46;3
2008-10-27;LUNDI;4;6;37;44;46;2
2008-10-29;MERCREDI;22;28;41;43;49;4
2008-11-01;SAMEDI;4;22;27;36;45;3
2008-11-03;LUNDI;2;20;23;24;26;8
2008-11-05;MERCREDI;4;8;15;38;47;7
2008-11-08;SAMEDI;5;22;25;33;35;9
2008-11-10;LUNDI;9;12;21;38;45;6
2008-11-12;MERCREDI;23;34;35;40;45;5
2008-11-15;SAMEDI;10;22;41;43;48;3
2008-11-17;LUNDI;1;6;19;23;41;6
2008-11-19;MERCREDI;2;26;34;37;41;4
2008-11-22;SAMEDI;12;20;30;36;45;6
2008-11-24;LUNDI;17;30;31;36;43;8
2008-11-26;MERCREDI;11;13;25;28;49;5
2008-11-29;SAMEDI;18;20;22;32;36;7
2008-12-01;LUNDI;15;19;32;37;38;1
2008-12-03;MERCREDI;26;29;31;34;42;10
2008-12-06;SAMEDI;2;5;13;24;48;4
2008-12-08;LUNDI;1;11;15;29;31;8
2008-12-10;MERCREDI;10;11;35;38;41;3
2008-12-13;SAMEDI;8;24;31;38;42;7
2008-12-15;LUNDI;2;5;15;27;48;8
2008-12-17;MERCREDI;13;31;33;44;49;9
2008-12-20;SAMEDI;2;22;26;41;46;5
2008-12-22;LUNDI;2;5;27;35;48;3
2008-12-24;MERCREDI;2;4;27;33;41;5
2008-12-27;SAMEDI;17;36;37;47;49;10
2008-12-29;LUNDI;14;21;26;27;38;4
2008-12-31;MERCREDI;5;11;20;24;30;8
2009-01-03;SAMEDI;12;22;24;38;47;1
2009-01-05;LUNDI;8;11;25;29;36;2
2009-01-07;MERCREDI;9;11;33;37;39;8
2009-01-10;SAMEDI;10;21;40;44;49;2
2009-01-12;LUNDI;4;9;11;29;47;8
2009-01-14;MERCREDI;1;5;13;19;42;3
2009-01-17;SAMEDI;2;5;27;37;46;4
2009-01-19;LUNDI;7;26;32;38;39;9
2009-01-21;MERCREDI;3;10;32;35;47;3
2009-01-24;SAMEDI;5;15;20;28;40;10
2009-01-26;LUNDI;8;10;13;39;49;10
2009-01-28;MERCREDI;7;38;40;41;46;5
2009-01-31;SAMEDI;6;18;31;36;40;7
2009-02-02;LUNDI;4;12;31;38;41;8
2009-02-04;MERCREDI;10;20;27;43;47;3
2009-02-07;SAMEDI;4;16;22;34;49;10
2009-02-09;LUNDI;3;13;17;31;46;5
2009-02-11;MERCREDI;1;10;14;35;46;8
2009-02-14;SAMEDI;12;16;18;24;44;4
2009-02-16;LUNDI;16;21;23;29;46;4
